player_id,team_id,fifa_code,model_version,primary_position,best_role,overall_estimate,pace,shooting,passing,defending,goalkeeping,physical,mentality,form,role_gk,role_cb,role_fb,role_dm,role_cm,role_am,role_wg,role_st,confidence_score,uncertainty,is_estimated,notes
0013fff9-3d02-57f4-9ad2-0aedbd8816c0,switzerland,SUI,rating-model-2026.06.24-v1,DF,CB,72,66,44,72,77,10,74,74,66,36,72,69,69,64,60,59,56,0.681,0.319,true,"Estimated from official squad facts, FIFA team ranking context, and documented Phase 4 formulas. | Preferred foot, detailed league quality, and fine-grained positions are not present in the official squad source."
0025c4e7-f77d-5b14-b1c5-b4529d3c06f8,czechia,CZE,rating-model-2026.06.24-v1,FW,ST,71,71,77,69,45,10,70,74,64,34,55,59,59,63,67,70,71,0.668,0.332,true,"Estimated from official squad facts, FIFA team ranking context, and documented Phase 4 formulas. | Preferred foot, detailed league quality, and fine-grained positions are not present in the official squad source."
00795a93-8d2a-54a4-b3b0-ba8cb81a79df,algeria,ALG,rating-model-2026.06.24-v1,DF,CB,70,66,39,70,74,10,71,72,64,35,70,67,67,62,57,57,53,0.675,0.325,true,"Estimated from official squad facts, FIFA team ranking context, and documented Phase 4 formulas. | Preferred foot, detailed league quality, and fine-grained positions are not present in the official squad source."
00b18f2f-1c7b-5ffb-8d19-f5bb34223848,switzerland,SUI,rating-model-2026.06.24-v1,MF,DM,69,67,56,77,64,10,67,75,65,35,63,64,69,69,68,65,61,0.681,0.319,true,"Estimated from official squad facts, FIFA team ranking context, and documented Phase 4 formulas. | Preferred foot, detailed league quality, and fine-grained positions are not present in the official squad source."
00bbcfcf-be94-53b9-959b-65ff70143d72,croatia,CRO,rating-model-2026.06.24-v1,FW,ST,70,61,77,70,47,10,66,75,65,33,54,58,58,63,66,67,70,0.686,0.314,true,"Estimated from official squad facts, FIFA team ranking context, and documented Phase 4 formulas. | Preferred foot, detailed league quality, and fine-grained positions are not present in the official squad source."
00ee2f80-293d-54ff-a52c-155ed2adcec3,scotland,SCO,rating-model-2026.06.24-v1,DF,CB,71,66,41,70,76,10,73,73,64,35,71,68,68,63,58,58,54,0.667,0.333,true,"Estimated from official squad facts, FIFA team ranking context, and documented Phase 4 formulas. | Preferred foot, detailed league quality, and fine-grained positions are not present in the official squad source."
01569bbf-34b6-5f9c-97ef-f8eb60e1fc6b,croatia,CRO,rating-model-2026.06.24-v1,GK,GK,72,52,23,66,54,79,71,67,63,72,52,50,53,52,48,46,43,0.602,0.398,true,"Estimated from official squad facts, FIFA team ranking context, and documented Phase 4 formulas. | Preferred foot, detailed league quality, and fine-grained positions are not present in the official squad source."
017cdf8b-cf67-55a4-8cee-c51471c3a4c4,brazil,BRA,rating-model-2026.06.24-v1,MF,CM,68,69,53,75,61,10,69,71,64,34,62,63,67,68,66,64,60,0.606,0.394,true,"Estimated from official squad facts, FIFA team ranking context, and documented Phase 4 formulas. | Preferred foot, detailed league quality, and fine-grained positions are not present in the official squad source."
017f3180-d9ac-5d82-9a56-d4f583a9abb0,norway,NOR,rating-model-2026.06.24-v1,DF,CB,67,64,38,64,71,10,74,63,60,33,67,64,63,58,54,54,51,0.577,0.423,true,"Estimated from official squad facts, FIFA team ranking context, and documented Phase 4 formulas. | Preferred foot, detailed league quality, and fine-grained positions are not present in the official squad source."
017fd27b-7150-52df-b441-03279cf60305,czechia,CZE,rating-model-2026.06.24-v1,DF,CB,69,60,39,68,75,10,72,70,62,34,69,65,66,61,56,55,52,0.668,0.332,true,"Estimated from official squad facts, FIFA team ranking context, and documented Phase 4 formulas. | Preferred foot, detailed league quality, and fine-grained positions are not present in the official squad source."
